[Sat Aug 20 16:43:39 2016] [13910] /: /pub/home/nfksber6/old-nfksber-ru/auto.p(69:2): 'mysql://****@localhost/nfksber6_avis' Can't connect to local MySQL server through socket '/tmp/mysql.sock' (2) [sql.connect] [uri=/, method=GET, cl=0]
[Sat Aug 20 16:43:40 2016] [13911] /: /pub/home/nfksber6/old-nfksber-ru/auto.p(69:2): 'mysql://****@localhost/nfksber6_avis' Can't connect to local MySQL server through socket '/tmp/mysql.sock' (2) [sql.connect] [uri=/, method=GET, cl=0]
[Sat Aug 20 16:43:41 2016] [13916] /: /pub/home/nfksber6/old-nfksber-ru/auto.p(69:2): 'mysql://****@localhost/nfksber6_avis' Can't connect to local MySQL server through socket '/tmp/mysql.sock' (2) [sql.connect] [uri=/, method=GET, cl=0]
[Sat Aug 20 16:43:42 2016] [13921] /: /pub/home/nfksber6/old-nfksber-ru/auto.p(69:2): 'mysql://****@localhost/nfksber6_avis' Can't connect to local MySQL server through socket '/tmp/mysql.sock' (2) [sql.connect] [uri=/, method=GET, cl=0]
[Sat Aug 20 16:43:42 2016] [13923] /: /pub/home/nfksber6/old-nfksber-ru/auto.p(69:2): 'mysql://****@localhost/nfksber6_avis' Can't connect to local MySQL server through socket '/tmp/mysql.sock' (2) [sql.connect] [uri=/, method=GET, cl=0]
[Sat Aug 20 16:49:26 2016] [27674] /: /pub/home/nfksber6/old-nfksber-ru/auto.p(69:2): 'mysql://****@db39.valuehost.ru/nfksber6_avis?utf8' connect option without =value [sql.connect] [uri=/, method=GET, cl=0]
[Sat Aug 20 16:49:32 2016] [27688] /: /pub/home/nfksber6/old-nfksber-ru/auto.p(69:2): 'mysql://****@db39.valuehost.ru/nfksber6_avis?utf8' connect option without =value [sql.connect] [uri=/, method=GET, cl=0]
[Sat Aug 20 17:00:03 2016] [52934] /: /pub/home/nfksber6/old-nfksber-ru/auto.p(69:2): 'mysql://****@db39.valuehost.ru/nfksber6_avis?charset=cp1251_utf8' Unknown character set: 'cp1251_utf8' [sql.connect] [uri=/, method=GET, cl=0]
[Sat Aug 20 17:00:04 2016] [52967] /: /pub/home/nfksber6/old-nfksber-ru/auto.p(69:2): 'mysql://****@db39.valuehost.ru/nfksber6_avis?charset=cp1251_utf8' Unknown character set: 'cp1251_utf8' [sql.connect] [uri=/, method=GET, cl=0]
[Sat Aug 20 17:00:05 2016] [52991] /: /pub/home/nfksber6/old-nfksber-ru/auto.p(69:2): 'mysql://****@db39.valuehost.ru/nfksber6_avis?charset=cp1251_utf8' Unknown character set: 'cp1251_utf8' [sql.connect] [uri=/, method=GET, cl=0]
[Sun Dec 18 15:47:04 2016] [8989] /: -body of process-(242:30): '404' invalid HTTP response status [http.status] [uri=/, method=GET, cl=0]
